product_id,name,category,price,quantity_in_stock,sales,last_stock_date,supplier
PROD0001,Biography Standard,Books,372.38,14,209,2025-10-14,Supplier D
PROD0002,T-Shirt Pro,Clothing,332.87,104,171,2024-12-13,Supplier E
PROD0003,Headphones Premium,Electronics,556.19,408,597,2023-12-23,Supplier D
PROD0004,Pot Premium,Home & Kitchen,909.51,180,569,2024-01-21,Supplier B
PROD0005,Bicycle Premium,Sports,935.48,456,548,2025-09-21,Supplier A
PROD0006,Microwave Standard,Home & Kitchen,185.01,266,523,2024-07-27,Supplier E
PROD0007,Tire Pro,Automotive,218.33,444,604,2024-03-22,Supplier C
PROD0008,Tablet Standard,Electronics,15.42,222,459,2025-10-14,Supplier A
PROD0009,Running Shoes Deluxe,Sports,560.63,58,483,2025-06-16,Supplier A
PROD0010,Socks Standard,Clothing,913.18,135,724,2024-10-21,Supplier C
PROD0011,Keyboard Standard,Electronics,940.63,389,951,2024-03-09,Supplier E
PROD0012,Tire Standard,Automotive,239.94,325,335,2023-11-22,Supplier B
PROD0013,Monitor Pro,Electronics,811.15,201,296,2025-10-24,Supplier E
PROD0014,Sunscreen Standard,Beauty,636.39,487,38,2024-11-08,Supplier B
PROD0015,Headphones Elite,Electronics,696.21,490,953,2023-12-22,Supplier B
PROD0016,Spark Plug Elite,Automotive,994.01,293,889,2024-10-01,Supplier C
PROD0017,Play-Doh Premium,Toys,847.13,78,809,2024-02-02,Supplier E
PROD0018,Mystery Standard,Books,236.34,485,372,2024-08-02,Supplier B
PROD0019,Air Filter Premium,Automotive,242.01,147,804,2024-05-29,Supplier D
PROD0020,Kite Basic,Toys,752.89,405,946,2024-10-10,Supplier C
PROD0021,Speaker Deluxe,Electronics,841.77,106,262,2024-11-26,Supplier E
PROD0022,Action Figure Elite,Toys,331.91,230,159,2024-06-03,Supplier E
PROD0023,Face Mask Premium,Beauty,557.35,7,368,2024-03-24,Supplier A
PROD0024,Doll Standard,Toys,796.72,46,856,2024-10-27,Supplier D
PROD0025,Fiction Novel Deluxe,Books,466.34,291,543,2025-03-07,Supplier B
PROD0026,Kite Elite,Toys,180.94,399,932,2025-01-03,Supplier B
PROD0027,Foundation Pro,Beauty,621.52,266,583,2025-10-21,Supplier E
PROD0028,Charger Standard,Electronics,405.25,53,891,2024-01-13,Supplier A
PROD0029,Mystery Pro,Books,584.69,489,798,2024-03-06,Supplier C
PROD0030,Eye Shadow Premium,Beauty,14.14,257,635,2025-01-13,Supplier C
PROD0031,Keyboard Elite,Electronics,722.39,91,587,2024-12-31,Supplier E
PROD0032,Mouse Premium,Electronics,111.62,151,413,2024-12-04,Supplier B
PROD0033,Board Game Basic,Toys,302.87,89,285,2025-09-29,Supplier C
PROD0034,Shorts Standard,Clothing,554.22,121,866,2024-06-07,Supplier E
PROD0035,Coffee Maker Premium,Home & Kitchen,69.72,458,792,2024-05-22,Supplier E
PROD0036,Helmet Pro,Sports,893.66,434,484,2024-06-12,Supplier C
PROD0037,Football Premium,Sports,710.24,494,96,2023-12-08,Supplier A
PROD0038,Poetry Standard,Books,467.7,125,882,2025-08-15,Supplier E
PROD0039,Self-Help Basic,Books,19.61,483,867,2023-11-12,Supplier B
PROD0040,Smartphone Deluxe,Electronics,422.88,207,444,2025-09-18,Supplier C
PROD0041,Laptop Standard,Electronics,938.2,139,331,2024-01-03,Supplier C
PROD0042,Self-Help Basic,Books,429.08,91,498,2025-04-16,Supplier C
PROD0043,Mouse Premium,Electronics,982.97,366,270,2024-10-02,Supplier C
PROD0044,Toaster Basic,Home & Kitchen,886.83,313,11,2025-03-30,Supplier D
PROD0045,Shorts Premium,Clothing,579.46,232,409,2024-02-06,Supplier D
PROD0046,Plate Set Standard,Home & Kitchen,808.24,182,893,2025-05-10,Supplier C
PROD0047,Doll Premium,Toys,443.72,284,937,2025-07-03,Supplier A
PROD0048,Knife Set Basic,Home & Kitchen,730.5,432,741,2024-12-29,Supplier D
PROD0049,Cup Pro,Home & Kitchen,411.41,481,249,2025-05-10,Supplier B
PROD0050,Shampoo Premium,Beauty,440.12,397,876,2023-11-10,Supplier C
PROD0051,Puzzle Premium,Toys,745.96,173,739,2024-11-28,Supplier D
PROD0052,Headphones Basic,Electronics,375.3,167,33,2025-08-13,Supplier C
PROD0053,Cookbook Elite,Books,410.61,39,403,2024-05-02,Supplier B
PROD0054,Fork Set Deluxe,Home & Kitchen,323.16,157,355,2025-03-01,Supplier A
PROD0055,Fork Set Basic,Home & Kitchen,581.54,321,866,2024-01-13,Supplier A
PROD0056,Speaker Standard,Electronics,397.06,180,325,2024-08-24,Supplier E
PROD0057,Spark Plug Standard,Automotive,909.57,454,464,2025-09-01,Supplier C
PROD0058,Foundation Basic,Beauty,593.27,435,0,2024-02-29,Supplier C
PROD0059,Self-Help Pro,Books,940.82,54,638,2023-11-15,Supplier E
PROD0060,Running Shoes Elite,Sports,231.92,384,817,2024-06-25,Supplier E
PROD0061,Knife Set Premium,Home & Kitchen,263.85,429,167,2024-11-26,Supplier B
PROD0062,Mouse Deluxe,Electronics,83.06,289,198,2024-04-10,Supplier C
PROD0063,Battery Premium,Automotive,279.95,442,361,2024-01-29,Supplier A
PROD0064,Dictionary Premium,Books,231.36,93,846,2024-05-29,Supplier D
PROD0065,Blender Deluxe,Home & Kitchen,56.63,17,318,2024-09-27,Supplier A
PROD0066,Atlas Premium,Books,979.43,422,145,2024-11-27,Supplier C
PROD0067,Doll Premium,Toys,815.76,443,386,2024-06-09,Supplier A
PROD0068,Coat Basic,Clothing,423.9,491,744,2025-01-11,Supplier D
PROD0069,Dress Pro,Clothing,724.58,60,650,2024-04-04,Supplier C
PROD0070,Pan Basic,Home & Kitchen,388.33,486,648,2024-01-17,Supplier B
PROD0071,Running Shoes Deluxe,Sports,960.06,410,954,2024-02-15,Supplier A
PROD0072,Battery Elite,Automotive,393.65,205,499,2024-01-21,Supplier E
PROD0073,Self-Help Premium,Books,189.89,256,484,2024-10-25,Supplier A
PROD0074,Pot Deluxe,Home & Kitchen,129.84,449,642,2024-04-08,Supplier D
PROD0075,Ball Standard,Toys,418.25,260,623,2024-03-20,Supplier D
PROD0076,Dress Standard,Clothing,640.4,379,912,2023-12-21,Supplier D
PROD0077,Mouse Elite,Electronics,191.31,333,33,2025-10-27,Supplier E
PROD0078,Battery Standard,Automotive,694.99,33,279,2024-07-20,Supplier C
PROD0079,Gym Bag Standard,Sports,826.07,396,607,2024-05-15,Supplier B
PROD0080,Stuffed Animal Basic,Toys,87.16,116,708,2023-12-07,Supplier C
PROD0081,History Elite,Books,531.96,458,191,2025-06-16,Supplier A
PROD0082,Football Deluxe,Sports,998.25,146,586,2024-11-08,Supplier D
PROD0083,Laptop Elite,Electronics,967.3,312,566,2024-06-12,Supplier D
PROD0084,Monitor Premium,Electronics,936.24,29,946,2024-12-06,Supplier C
PROD0085,Dress Standard,Clothing,856.31,187,716,2025-10-22,Supplier B
PROD0086,Dress Standard,Clothing,686.32,366,621,2024-07-15,Supplier A
PROD0087,Board Game Standard,Toys,926.94,254,503,2024-05-26,Supplier A
PROD0088,Sweater Elite,Clothing,991.53,161,789,2024-06-28,Supplier C
PROD0089,Gym Bag Pro,Sports,416.29,3,100,2024-01-27,Supplier A
PROD0090,Plate Set Premium,Home & Kitchen,768.2,484,576,2025-09-16,Supplier E
PROD0091,Phone Mount Standard,Automotive,372.95,191,148,2025-08-10,Supplier E
PROD0092,Brake Pads Deluxe,Automotive,234.7,255,231,2024-12-13,Supplier A
PROD0093,Tire Deluxe,Automotive,985.12,282,605,2025-07-22,Supplier C
PROD0094,Tennis Racket Deluxe,Sports,514.16,328,597,2025-07-29,Supplier C
PROD0095,Plate Set Standard,Home & Kitchen,97.02,46,116,2025-06-07,Supplier A
PROD0096,Poetry Elite,Books,356.08,371,897,2024-12-19,Supplier D
PROD0097,Puzzle Premium,Toys,280.09,149,349,2023-11-02,Supplier A
PROD0098,Oil Filter Deluxe,Automotive,596.11,164,933,2025-03-22,Supplier C
PROD0099,Action Figure Premium,Toys,60.04,269,68,2025-04-10,Supplier E
PROD0100,Cup Deluxe,Home & Kitchen,238.3,120,641,2025-03-25,Supplier B
PROD0101,Doll Basic,Toys,37.53,302,643,2025-05-12,Supplier A
PROD0102,Gym Bag Basic,Sports,890.84,289,22,2025-09-12,Supplier A
PROD0103,Speaker Basic,Electronics,261.71,215,808,2024-07-29,Supplier A
PROD0104,Tire Standard,Automotive,768.8,367,639,2024-08-30,Supplier D
PROD0105,Sweater Premium,Clothing,316.57,119,946,2024-12-02,Supplier A
PROD0106,Wiper Blades Pro,Automotive,298.03,159,419,2023-12-18,Supplier B
PROD0107,Basketball Elite,Sports,726.19,454,346,2025-02-17,Supplier A
PROD0108,Science Fiction Basic,Books,56.33,243,92,2025-02-15,Supplier A
PROD0109,Camera Deluxe,Electronics,885.1,485,325,2024-01-20,Supplier B
PROD0110,Foundation Pro,Beauty,910.42,454,522,2024-03-14,Supplier B
PROD0111,Spark Plug Pro,Automotive,150.18,333,99,2025-02-05,Supplier A
PROD0112,Cup Pro,Home & Kitchen,195.36,434,374,2024-02-06,Supplier B
PROD0113,Cookbook Standard,Books,330.16,219,611,2024-06-26,Supplier A
PROD0114,Water Bottle Elite,Sports,823.29,433,516,2025-07-27,Supplier C
PROD0115,Nail Polish Standard,Beauty,904.97,23,162,2024-11-08,Supplier E
PROD0116,Cookbook Premium,Books,514.47,82,494,2025-08-23,Supplier D
PROD0117,Science Fiction Premium,Books,915.38,120,264,2024-03-05,Supplier B
PROD0118,Kite Premium,Toys,623.43,257,889,2024-10-25,Supplier A
PROD0119,Self-Help Premium,Books,649.09,151,88,2025-10-14,Supplier A
PROD0120,Play-Doh Basic,Toys,596.36,387,438,2024-11-14,Supplier E
PROD0121,Keyboard Standard,Electronics,941.17,472,183,2024-08-29,Supplier C
PROD0122,Air Filter Deluxe,Automotive,339.09,26,873,2024-02-11,Supplier B
PROD0123,Mystery Premium,Books,736.14,277,628,2024-10-22,Supplier A
PROD0124,Car Cover Elite,Automotive,316.1,203,515,2024-08-03,Supplier E
PROD0125,Self-Help Deluxe,Books,449.98,85,840,2025-05-01,Supplier A
PROD0126,Stuffed Animal Premium,Toys,339.09,176,182,2024-09-13,Supplier B
PROD0127,Brake Pads Pro,Automotive,106.44,187,81,2025-06-10,Supplier D
PROD0128,Gym Bag Pro,Sports,407.88,498,872,2024-06-15,Supplier B
PROD0129,Floor Mats Premium,Automotive,692.93,147,729,2025-10-28,Supplier D
PROD0130,Keyboard Standard,Electronics,400.84,186,965,2024-11-05,Supplier A
PROD0131,Cookbook Elite,Books,141.42,229,260,2024-02-16,Supplier E
PROD0132,Cup Basic,Home & Kitchen,250.84,112,900,2025-08-19,Supplier C
PROD0133,Pan Basic,Home & Kitchen,445.99,475,438,2024-12-20,Supplier A
PROD0134,Smartphone Pro,Electronics,923.54,321,575,2024-11-03,Supplier A
PROD0135,History Pro,Books,745.39,487,439,2025-01-11,Supplier C
PROD0136,Shoes Standard,Clothing,387.51,239,759,2024-07-16,Supplier C
PROD0137,Ball Elite,Toys,816.78,25,362,2025-08-01,Supplier C
PROD0138,Nail Polish Basic,Beauty,334.59,460,621,2024-10-08,Supplier D
PROD0139,Shorts Basic,Clothing,610.36,150,557,2024-12-24,Supplier D
PROD0140,Monitor Elite,Electronics,191.89,339,81,2025-05-25,Supplier A
PROD0141,Socks Basic,Clothing,101.44,419,822,2025-06-26,Supplier E
PROD0142,Tire Pro,Automotive,460.21,0,170,2024-11-19,Supplier B
PROD0143,Car Cover Elite,Automotive,848.0,96,671,2025-02-10,Supplier E
PROD0144,Camera Pro,Electronics,247.92,227,46,2023-12-31,Supplier A
PROD0145,Science Fiction Deluxe,Books,375.6,494,538,2024-03-23,Supplier A
PROD0146,Play-Doh Elite,Toys,68.36,311,929,2024-11-27,Supplier C
PROD0147,Moisturizer Pro,Beauty,344.42,232,872,2025-10-01,Supplier C
PROD0148,Sweater Elite,Clothing,784.97,142,480,2025-08-05,Supplier A
PROD0149,Face Mask Pro,Beauty,416.38,272,277,2024-11-02,Supplier B
PROD0150,History Premium,Books,936.87,310,84,2024-05-31,Supplier B
PROD0151,Socks Pro,Clothing,96.4,328,920,2024-08-17,Supplier C
PROD0152,Tire Basic,Automotive,25.4,417,52,2025-06-06,Supplier E
PROD0153,Knife Set Deluxe,Home & Kitchen,538.39,176,290,2023-11-17,Supplier E
PROD0154,Stuffed Animal Pro,Toys,940.49,317,910,2024-10-21,Supplier E
PROD0155,Sunscreen Basic,Beauty,850.02,251,196,2023-12-29,Supplier D
PROD0156,Stuffed Animal Standard,Toys,339.15,157,939,2024-06-08,Supplier C
PROD0157,Car Cover Standard,Automotive,65.82,465,71,2024-07-18,Supplier C
PROD0158,Atlas Elite,Books,80.21,15,411,2024-04-09,Supplier D
PROD0159,Wiper Blades Standard,Automotive,771.29,250,846,2025-04-28,Supplier C
PROD0160,Football Elite,Sports,6.98,446,621,2025-04-01,Supplier E
PROD0161,Water Bottle Elite,Sports,985.74,15,56,2025-06-24,Supplier C
PROD0162,Charger Pro,Electronics,362.79,197,192,2024-06-05,Supplier D
PROD0163,Hair Dryer Elite,Beauty,973.25,493,564,2025-10-16,Supplier E
PROD0164,Face Mask Premium,Beauty,950.82,34,787,2024-05-06,Supplier D
PROD0165,Yoga Mat Premium,Sports,995.95,326,241,2025-07-14,Supplier B
PROD0166,Biography Premium,Books,870.6,454,876,2024-07-26,Supplier A
PROD0167,Running Shoes Standard,Sports,832.88,185,597,2025-07-04,Supplier B
PROD0168,Car Cover Premium,Automotive,417.07,198,372,2024-05-26,Supplier B
PROD0169,Brake Pads Elite,Automotive,334.64,223,413,2025-02-13,Supplier B
PROD0170,Phone Mount Pro,Automotive,402.7,23,671,2024-01-05,Supplier A
PROD0171,History Premium,Books,410.73,97,180,2024-11-14,Supplier C
PROD0172,Helmet Elite,Sports,681.68,145,41,2025-06-06,Supplier A
PROD0173,Stuffed Animal Basic,Toys,554.79,265,130,2024-01-15,Supplier B
PROD0174,Science Fiction Elite,Books,578.33,461,856,2024-01-21,Supplier A
PROD0175,Atlas Deluxe,Books,443.35,278,533,2025-03-10,Supplier D
PROD0176,Hat Elite,Clothing,606.49,202,32,2025-01-24,Supplier E
PROD0177,Hat Elite,Clothing,933.09,175,995,2025-09-26,Supplier B
PROD0178,Fiction Novel Basic,Books,514.88,372,994,2024-01-02,Supplier E
PROD0179,Eye Shadow Deluxe,Beauty,724.97,484,203,2023-12-07,Supplier D
PROD0180,Air Filter Elite,Automotive,559.88,350,82,2025-01-02,Supplier D
PROD0181,Socks Premium,Clothing,155.32,47,261,2025-03-22,Supplier C
PROD0182,Air Filter Pro,Automotive,314.1,296,517,2023-11-12,Supplier B
PROD0183,Fiction Novel Elite,Books,796.99,476,929,2023-11-09,Supplier A
PROD0184,Speaker Pro,Electronics,873.96,350,974,2024-05-08,Supplier E
PROD0185,Hat Elite,Clothing,236.89,174,126,2025-06-27,Supplier A
PROD0186,Helmet Deluxe,Sports,315.37,51,926,2024-07-02,Supplier C
PROD0187,Play-Doh Deluxe,Toys,750.0,179,580,2025-03-16,Supplier D
PROD0188,Blender Deluxe,Home & Kitchen,459.17,369,311,2025-09-08,Supplier D
PROD0189,Monitor Elite,Electronics,600.48,92,194,2025-04-22,Supplier A
PROD0190,Shampoo Elite,Beauty,406.39,383,721,2024-05-28,Supplier E
PROD0191,Tire Deluxe,Automotive,957.72,369,514,2025-06-22,Supplier C
PROD0192,Nail Polish Standard,Beauty,466.98,285,291,2024-12-20,Supplier B
PROD0193,Water Bottle Premium,Sports,663.25,98,126,2025-03-02,Supplier D
PROD0194,Atlas Standard,Books,47.82,354,930,2024-07-29,Supplier D
PROD0195,Nail Polish Deluxe,Beauty,188.64,25,475,2023-10-30,Supplier B
PROD0196,Eye Shadow Premium,Beauty,707.98,382,266,2025-10-03,Supplier E
PROD0197,Water Bottle Elite,Sports,311.71,317,770,2024-02-25,Supplier E
PROD0198,Kite Premium,Toys,324.45,87,402,2023-12-31,Supplier B
PROD0199,Kite Deluxe,Toys,311.82,247,861,2025-07-11,Supplier E
PROD0200,Tennis Racket Standard,Sports,633.77,77,288,2024-05-30,Supplier C
PROD0201,Brake Pads Pro,Automotive,482.09,430,141,2024-03-28,Supplier A
PROD0202,Phone Mount Elite,Automotive,737.38,17,347,2023-11-15,Supplier D
PROD0203,Self-Help Basic,Books,557.97,6,50,2024-10-31,Supplier E
PROD0204,Spark Plug Standard,Automotive,571.36,375,171,2024-10-06,Supplier B
PROD0205,Shampoo Premium,Beauty,34.99,352,217,2023-12-26,Supplier A
PROD0206,Jacket Standard,Clothing,173.41,315,101,2024-01-25,Supplier C
PROD0207,Dictionary Standard,Books,35.56,118,865,2025-03-15,Supplier D
PROD0208,Headphones Premium,Electronics,271.77,116,602,2024-10-25,Supplier B
PROD0209,Microwave Premium,Home & Kitchen,936.01,492,791,2025-07-23,Supplier B
PROD0210,Speaker Basic,Electronics,308.34,253,473,2024-02-09,Supplier B
PROD0211,Self-Help Deluxe,Books,665.56,271,885,2025-06-19,Supplier A
PROD0212,Battery Premium,Automotive,697.57,454,604,2024-01-23,Supplier C
PROD0213,Eye Shadow Premium,Beauty,569.0,462,77,2023-12-17,Supplier D
PROD0214,Bicycle Deluxe,Sports,261.07,446,732,2025-04-04,Supplier E
PROD0215,Tire Basic,Automotive,859.37,67,434,2025-03-27,Supplier D
PROD0216,Helmet Deluxe,Sports,347.64,330,598,2025-08-26,Supplier B
PROD0217,Ball Basic,Toys,249.14,179,989,2025-04-20,Supplier B
PROD0218,Atlas Deluxe,Books,303.65,496,414,2024-05-23,Supplier D
PROD0219,Science Fiction Premium,Books,855.72,432,183,2025-09-23,Supplier B
PROD0220,Helmet Premium,Sports,649.77,209,738,2024-10-12,Supplier B
PROD0221,Kite Elite,Toys,223.99,464,68,2025-05-12,Supplier C
PROD0222,Camera Premium,Electronics,553.39,146,725,2025-07-10,Supplier D
PROD0223,Shoes Deluxe,Clothing,286.73,462,349,2024-08-05,Supplier D
PROD0224,Kite Basic,Toys,157.37,247,763,2024-10-23,Supplier A
PROD0225,Floor Mats Elite,Automotive,648.7,414,150,2025-07-22,Supplier A
PROD0226,Fiction Novel Basic,Books,425.21,159,476,2024-09-23,Supplier A
PROD0227,Shoes Elite,Clothing,699.17,157,731,2024-05-25,Supplier B
PROD0228,Smartphone Premium,Electronics,490.89,399,442,2024-12-06,Supplier A
PROD0229,Mystery Elite,Books,218.79,64,129,2025-01-27,Supplier D
PROD0230,Running Shoes Premium,Sports,430.75,336,249,2025-08-16,Supplier D
PROD0231,Floor Mats Deluxe,Automotive,16.22,4,86,2025-07-18,Supplier A
PROD0232,Nail Polish Elite,Beauty,794.14,207,688,2025-10-12,Supplier B
PROD0233,Wiper Blades Basic,Automotive,544.64,86,464,2024-09-14,Supplier C
PROD0234,Tablet Standard,Electronics,379.29,437,370,2024-05-09,Supplier E
PROD0235,Play-Doh Deluxe,Toys,587.38,12,272,2024-10-18,Supplier A
PROD0236,Toaster Elite,Home & Kitchen,811.63,182,835,2025-06-13,Supplier C
PROD0237,Microwave Standard,Home & Kitchen,842.96,178,138,2024-11-22,Supplier C
PROD0238,Spark Plug Elite,Automotive,407.46,341,431,2023-11-03,Supplier A
PROD0239,Doll Elite,Toys,51.54,261,721,2025-08-01,Supplier D
PROD0240,Basketball Standard,Sports,741.83,440,881,2025-01-17,Supplier B
PROD0241,Action Figure Basic,Toys,179.88,328,641,2025-02-09,Supplier B
PROD0242,Battery Premium,Automotive,789.17,455,913,2024-12-17,Supplier D
PROD0243,Shorts Pro,Clothing,576.36,110,441,2025-07-29,Supplier D
PROD0244,T-Shirt Basic,Clothing,341.16,285,923,2024-09-19,Supplier B
PROD0245,Remote Car Elite,Toys,356.64,151,358,2025-01-07,Supplier D
PROD0246,Pot Standard,Home & Kitchen,88.03,367,880,2025-03-30,Supplier D
PROD0247,Spark Plug Deluxe,Automotive,973.04,181,991,2024-01-25,Supplier E
PROD0248,Dress Elite,Clothing,243.12,477,918,2025-07-27,Supplier A
